blue,green,red,ndwi,brightness,label,source_file
0.21991105,0.27061304,0.2099402,0.12625599,0.2334881,0,Shasta_2009_11.tif
0.1322498,0.18725985,0.15840258,0.08348374,0.15930407,0,Shasta_2009_11.tif
0.07939078,0.12751621,0.11731834,0.04165192,0.108075105,0,Shasta_2009_11.tif
0.08927663,0.16033922,0.11610283,0.1600199,0.12190622,0,Shasta_2009_11.tif
0.14031988,0.20511097,0.16034739,0.12248579,0.16859275,0,Shasta_2009_11.tif
0.21385849,0.2795386,0.21188502,0.13766828,0.23509403,0,Shasta_2009_11.tif
0.0918994,0.13053939,0.10880977,0.0907859,0.11041618,0,Shasta_2009_11.tif
0.055584043,0.09858013,0.07453238,0.13891317,0.07623219,0,Shasta_2009_11.tif
0.06385587,0.12492492,0.08109614,0.21273826,0.08995899,0,Shasta_2009_11.tif
0.08019779,0.15889962,0.10151671,0.2203498,0.113538034,0,Shasta_2009_11.tif
0.10491241,0.12924373,0.1250976,0.016301371,0.119751245,0,Shasta_2009_11.tif
0.088974,0.11268827,0.10394773,0.0403465,0.10187,0,Shasta_2009_11.tif
0.060829595,0.09238983,0.061647978,0.19957213,0.07162247,0,Shasta_2009_11.tif
0.04206666,0.08332031,0.07720651,0.038085643,0.06753116,0,Shasta_2009_11.tif
0.0914959,0.13874514,0.07817891,0.27920347,0.10280665,0,Shasta_2009_11.tif
0.24089326,0.26687005,0.25005203,0.03253485,0.2526051,0,Shasta_2009_11.tif
0.1537364,0.18927531,0.15815948,0.089558505,0.16705705,0,Shasta_2009_11.tif
0.12498673,0.16465804,0.14016992,0.08033397,0.14327157,0,Shasta_2009_11.tif
0.24149852,0.34691215,0.26220712,0.13906124,0.28353927,0,Shasta_2009_11.tif
0.17855188,0.28414533,0.21601775,0.13621044,0.22623833,0,Shasta_2009_11.tif
0.18238518,0.21245296,0.20556436,0.016479177,0.20013416,0,Shasta_2009_11.tif
0.22767851,0.25477737,0.22890216,0.053496487,0.23711936,0,Shasta_2009_11.tif
0.26823065,0.28587288,0.23911244,0.08906982,0.26440534,0,Shasta_2009_11.tif
0.30858105,0.32215095,0.28967765,0.05307572,0.3068032,0,Shasta_2009_11.tif
0.22525747,0.26399085,0.22015049,0.09055263,0.23646627,0,Shasta_2009_11.tif
0.20518476,0.30021954,0.13401827,0.3827416,0.21314085,0,Shasta_2003_01.tif
0.15615389,0.20808415,0.11635096,0.28274652,0.16019633,0,Shasta_2003_01.tif
0.13879368,0.19540498,0.1263089,0.21477425,0.15350251,0,Shasta_2003_01.tif
0.21644543,0.27880582,0.18380798,0.20534974,0.2263531,0,Shasta_2003_01.tif
0.27251422,0.3675601,0.23199157,0.22611609,0.29068863,0,Shasta_2003_01.tif
0.21292648,0.29373908,0.15554027,0.30760035,0.22073527,0,Shasta_2003_01.tif
0.2659455,0.32614145,0.18188064,0.28396508,0.2579892,0,Shasta_2003_01.tif
0.23028669,0.2866951,0.16517699,0.26892087,0.22738625,0,Shasta_2003_01.tif
0.29914102,0.37206826,0.2729476,0.15367141,0.31471896,0,Shasta_2003_01.tif
0.2647725,0.34417406,0.23986155,0.17860611,0.28293607,0,Shasta_2003_01.tif
0.21597624,0.28162342,0.14333376,0.32541946,0.21364446,0,Shasta_2003_01.tif
0.24940637,0.2992334,0.2069361,0.18234429,0.25185862,0,Shasta_2003_01.tif
0.31591475,0.3334672,0.21175446,0.22323492,0.28704545,0,Shasta_2003_01.tif
0.3389053,0.41940388,0.32418284,0.12805623,0.36083066,0,Shasta_2003_01.tif
0.38488638,0.38488832,0.2833874,0.15188457,0.35105404,0,Shasta_2003_01.tif
0.15404251,0.19653201,0.14943703,0.13612446,0.16667052,0,Shasta_2003_01.tif
0.20342527,0.23964123,0.19938734,0.09168834,0.21415128,0,Shasta_2003_01.tif
0.22817531,0.27373415,0.168068,0.2391702,0.2233258,0,Shasta_2003_01.tif
0.25796917,0.2907806,0.24162829,0.092320435,0.26345935,0,Shasta_2003_01.tif
0.22442174,0.23795067,0.2339189,0.008544212,0.2320971,0,Shasta_2003_01.tif
0.39157242,0.4570188,0.3251465,0.1685988,0.39124593,0,Shasta_2003_01.tif
0.52670056,0.5204147,0.37381193,0.16394345,0.47364244,0,Shasta_2003_01.tif
0.5159091,0.48477212,0.36048114,0.14704567,0.45372078,0,Shasta_2003_01.tif
0.3102844,0.350091,0.2711809,0.12701361,0.31051877,0,Shasta_2003_01.tif
0.17562547,0.21386023,0.20549059,0.019958515,0.19832544,0,Shasta_2003_01.tif
0.12900695,0.16574508,0.08011643,0.3482786,0.12495615,0,Shasta_2012_09.tif
0.08495052,0.1148911,0.04587874,0.4292592,0.08190679,0,Shasta_2012_09.tif
0.07944347,0.09967203,0.021966696,0.63881546,0.0670274,0,Shasta_2012_09.tif
0.055317324,0.064408325,0.030118529,0.36274806,0.049948063,0,Shasta_2012_09.tif
0.07078952,0.07628662,0.021966696,0.5528503,0.056347612,0,Shasta_2012_09.tif
0.23731235,0.35171473,0.16897139,0.3509657,0.25266615,0,Shasta_2012_09.tif
0.23888579,0.36619142,0.18581851,0.32675603,0.2636319,0,Shasta_2012_09.tif
0.16939202,0.2860129,0.1366358,0.35343003,0.19734688,0,Shasta_2012_09.tif
0.11799285,0.15646516,0.07739915,0.33808354,0.11728572,0,Shasta_2012_09.tif
0.114190355,0.18430492,0.10076774,0.29303718,0.13308768,0,Shasta_2012_09.tif
0.27481276,0.367305,0.1681562,0.37191945,0.27009133,0,Shasta_2012_09.tif
0.26117626,0.36433542,0.1621782,0.38395363,0.26256332,0,Shasta_2012_09.tif
0.2782219,0.33352607,0.18609025,0.28373924,0.26594606,0,Shasta_2012_09.tif
